Id,SalePrice
1461,124675.98815924971
1462,172305.20096314183
1463,196414.4355955509
1464,201053.57042095927
1465,190060.5173447076
1466,170076.1778604364
1467,171368.66033837604
1468,162180.08046287787
1469,178174.83170950104
1470,134214.66335854272
1471,196549.2794043102
1472,101288.45950153912
1473,102976.79099979579
1474,142846.2316811599
1475,113973.36102740194
1476,370785.6456402433
1477,250046.44298068836
1478,301623.3213468876
1479,308947.87818765256
1480,466195.01057591604
1481,330231.0329904108
1482,206700.9672185845
1483,183213.49792074662
1484,170676.16400205434
1485,187210.1337023004
1486,194032.18421512275
1487,352827.54232440656
1488,223917.49564850843
1489,214641.19954901366
1490,229827.64864158788
1491,184984.57318261487
1492,82645.69030345247
1493,207918.7435682171
1494,297848.488713763
1495,292452.80660000484
1496,238416.45783763225
1497,181563.57004576648
1498,167698.9756599953
1499,168754.81128034857
1500,174168.70273993022
1501,182475.36832078485
1502,148762.65020389247
1503,292649.71530121745
1504,250777.85944878662
1505,227876.04343750217
1506,188020.50157252647
1507,265513.35387521307
1508,204183.9078988052
1509,165333.14815559195
1510,158035.0054495533
1511,154855.0019803759
1512,173019.79047174123
1513,152721.82289472915
1514,171203.2419472648
1515,181224.22283798805
1516,154308.49573314303
1517,165390.6462925997
1518,131803.834648437
1519,230874.1377034318
1520,141049.95101080497
1521,143857.20963968
1522,171713.16202772845
1523,120375.53938032179
1524,114616.24911304865
1525,127427.89562952307
1526,117784.78085602187
1527,96494.48620049159
1528,133579.97204940527
1529,149202.20148269075
1530,174449.23594835505
1531,101807.03382804115
1532,88917.41100854451
1533,132940.34389592762
1534,119395.85476592359
1535,159576.73594048922
1536,111192.38534262188
1537,68331.68733702869
1538,153084.22888707014
1539,201741.00056423145
1540,96255.61438573277
1541,144315.6762905691
1542,156465.71406569364
1543,180804.66140548253
1544,65984.58738702802
1545,115645.65566090695
1546,139743.5032253559
1547,135406.1890297756
1548,135514.2543231911
1549,119928.77196996319
1550,143481.1590784661
1551,115801.28083018198
1552,144137.2077118737
1553,157402.69742160608
1554,110529.44131524413
1555,172304.02182080311
1556,89202.51472063753
1557,94562.83842817378
1558,104618.81363373215
1559,97979.04810076632
1560,115679.42807155539
1561,148351.24775708053
1562,122101.16081188312
1563,128747.40013047474
1564,165167.71493747912
1565,154555.1993833702
1566,231107.71423323508
1567,77903.80649344357
1568,239242.54041910497
1569,133486.90106963893
1570,139996.05049444895
1571,110292.50062153589
1572,139705.93523872862
1573,245676.64583076
1574,120951.21568938195
1575,228174.31898426023
1576,234714.3914199874
1577,200037.43729591393
1578,135437.92122268715
1579,143059.23641986784
1580,181360.92516342667
1581,156414.474444786
1582,123803.87038182368
1583,305522.15407730016
1584,229748.64643555562
1585,143302.16579407683
1586,67978.15487396192
1587,109056.27661201375
1588,155801.5985539652
1589,100609.8460078242
1590,130222.44653950424
1591,95811.82526629031
1592,108094.1678636016
1593,122964.10916044864
1594,131707.04738464745
1595,131190.24370361932
1596,233813.04339006392
1597,181883.19537726927
1598,221236.45401490768
1599,180935.2274719596
1600,171361.97818390638
1601,67747.00677157182
1602,122357.39335020812
1603,79665.04173065373
1604,276195.7315509322
1605,233204.59335502904
1606,167090.08602343575
1607,177541.8151743339
1608,219398.79851311678
1609,190150.04859793372
1610,161978.85806336775
1611,141594.3820178791
1612,174226.74761225353
1613,170814.12605016603
1614,118703.3424828085
1615,84312.2664657111
1616,77338.98088666142
1617,86422.00996487249
1618,126880.02219214116
1619,137331.04632510425
1620,204216.33501830074
1621,143095.74505845233
1622,143423.41236367376
1623,262447.7964819581
1624,225914.06616041914
1625,129449.37439420345
1626,162364.87693805914
1627,201357.83271677594
1628,286488.59428878914
1629,184322.3697344857
1630,381180.7716343194
1631,207388.90525462007
1632,237773.8230996074
1633,179230.9401464678
1634,190564.52798918696
1635,176675.53137949647
1636,158240.82176461283
1637,202973.4514003295
1638,187966.88451204993
1639,178812.00554509056
1640,258496.9286751005
1641,180037.838560127
1642,246169.54203668892
1643,219386.74073170655
1644,235871.0237630173
1645,197236.56852303667
1646,160566.67981177795
1647,156904.92080041947
1648,133433.49554416345
1649,139049.77903585398
1650,121958.65530593219
1651,121684.23464372502
1652,100367.1271276911
1653,101116.32164196938
1654,149897.52188740435
1655,138497.93284308174
1656,147063.10381341222
1657,153636.30076543693
1658,146466.24541061476
1659,118697.53930263342
1660,152434.06760470572
1661,461748.60766584944
1662,391840.1785266776
1663,365951.87269417266
1664,479452.6513667198
1665,291500.5530889574
1666,326990.1575535936
1667,394818.8040654995
1668,323970.1149187805
1669,298219.55293286394
1670,347499.3137641481
1671,256732.14433537403
1672,481439.9394781535
1673,292402.726000621
1674,245778.94013576477
1675,200389.3334057604
1676,201917.47594455015
1677,225181.42701128617
1678,461888.89029932476
1679,388081.2090325248
1680,362912.2845605676
1681,241908.99199685635
