PassengerId,Sex,Pclass,Age,SibSp,Parch,Fare,Embarked
902.0,1.0,3.0,nan,0.0,0.0,7.8958,2.0
914.0,0.0,1.0,nan,0.0,0.0,31.6833,2.0
921.0,1.0,3.0,nan,2.0,0.0,21.6792,0.0
925.0,0.0,3.0,nan,1.0,2.0,23.45,2.0
928.0,0.0,3.0,nan,0.0,0.0,8.05,2.0
931.0,1.0,3.0,nan,0.0,0.0,56.4958,2.0
933.0,1.0,1.0,nan,0.0,0.0,26.55,2.0
939.0,1.0,3.0,nan,0.0,0.0,7.75,1.0
946.0,1.0,2.0,nan,0.0,0.0,15.5792,0.0
950.0,1.0,3.0,nan,1.0,0.0,16.1,2.0
957.0,0.0,2.0,nan,0.0,0.0,21.0,2.0
968.0,1.0,3.0,nan,0.0,0.0,8.05,2.0
975.0,1.0,3.0,nan,0.0,0.0,7.8958,2.0
976.0,1.0,2.0,nan,0.0,0.0,10.7083,1.0
977.0,1.0,3.0,nan,1.0,0.0,14.4542,0.0
980.0,0.0,3.0,nan,0.0,0.0,7.75,1.0
983.0,1.0,3.0,nan,0.0,0.0,7.775,2.0
985.0,1.0,3.0,nan,0.0,0.0,8.05,2.0
994.0,1.0,3.0,nan,0.0,0.0,7.75,1.0
999.0,1.0,3.0,nan,0.0,0.0,7.75,1.0
1000.0,1.0,3.0,nan,0.0,0.0,8.7125,2.0
1003.0,0.0,3.0,nan,0.0,0.0,7.7792,1.0
1008.0,1.0,3.0,nan,0.0,0.0,6.4375,0.0
1013.0,1.0,3.0,nan,1.0,0.0,7.75,1.0
1016.0,1.0,3.0,nan,0.0,0.0,7.75,1.0
1019.0,0.0,3.0,nan,2.0,0.0,23.25,1.0
1024.0,0.0,3.0,nan,0.0,4.0,25.4667,2.0
1025.0,1.0,3.0,nan,1.0,0.0,6.4375,0.0
1038.0,1.0,1.0,nan,0.0,0.0,51.8625,2.0
1040.0,1.0,1.0,nan,0.0,0.0,26.55,2.0
1043.0,1.0,3.0,nan,0.0,0.0,7.8958,0.0
1052.0,0.0,3.0,nan,0.0,0.0,7.7333,1.0
1055.0,1.0,3.0,nan,0.0,0.0,7.0,2.0
1060.0,0.0,1.0,nan,0.0,0.0,27.7208,0.0
1062.0,1.0,3.0,nan,0.0,0.0,7.55,2.0
1065.0,1.0,3.0,nan,0.0,0.0,7.2292,0.0
1075.0,1.0,3.0,nan,0.0,0.0,7.75,1.0
1080.0,0.0,3.0,nan,8.0,2.0,69.55,2.0
1083.0,1.0,1.0,nan,0.0,0.0,26.0,2.0
1091.0,0.0,3.0,nan,0.0,0.0,8.1125,2.0
1092.0,0.0,3.0,nan,0.0,0.0,15.5,1.0
1097.0,1.0,1.0,nan,0.0,0.0,25.7417,0.0
1103.0,1.0,3.0,nan,0.0,0.0,7.05,2.0
1108.0,0.0,3.0,nan,0.0,0.0,7.8792,1.0
1111.0,1.0,3.0,nan,0.0,0.0,8.05,2.0
1117.0,0.0,3.0,nan,0.0,2.0,15.2458,0.0
1119.0,0.0,3.0,nan,0.0,0.0,7.75,1.0
1125.0,1.0,3.0,nan,0.0,0.0,7.8792,1.0
1135.0,1.0,3.0,nan,0.0,0.0,7.8875,2.0
1136.0,1.0,3.0,nan,1.0,2.0,23.45,2.0
1141.0,0.0,3.0,nan,1.0,0.0,14.4542,0.0
1147.0,1.0,3.0,nan,0.0,0.0,7.55,2.0
1148.0,1.0,3.0,nan,0.0,0.0,7.75,1.0
1157.0,1.0,3.0,nan,0.0,0.0,7.8958,2.0
1158.0,1.0,1.0,nan,0.0,0.0,0.0,2.0
1159.0,1.0,3.0,nan,0.0,0.0,7.55,2.0
1160.0,0.0,3.0,nan,0.0,0.0,8.05,2.0
1163.0,1.0,3.0,nan,0.0,0.0,7.75,1.0
1165.0,0.0,3.0,nan,1.0,0.0,15.5,1.0
1166.0,1.0,3.0,nan,0.0,0.0,7.225,0.0
1174.0,0.0,3.0,nan,0.0,0.0,7.75,1.0
1178.0,1.0,3.0,nan,0.0,0.0,7.25,2.0
1180.0,1.0,3.0,nan,0.0,0.0,7.2292,0.0
1181.0,1.0,3.0,nan,0.0,0.0,8.05,2.0
1182.0,1.0,1.0,nan,0.0,0.0,39.6,2.0
1184.0,1.0,3.0,nan,0.0,0.0,7.2292,0.0
1189.0,1.0,3.0,nan,2.0,0.0,21.6792,0.0
1193.0,1.0,2.0,nan,0.0,0.0,15.0458,0.0
1196.0,0.0,3.0,nan,0.0,0.0,7.75,1.0
1204.0,1.0,3.0,nan,0.0,0.0,7.575,2.0
1224.0,1.0,3.0,nan,0.0,0.0,7.225,0.0
1231.0,1.0,3.0,nan,0.0,0.0,7.2292,0.0
1234.0,1.0,3.0,nan,1.0,9.0,69.55,2.0
